page,uri,status,request-error
6,EIPM%20tomato%20grant/Post%20Workshop%20Evaluation%20Results_IPM%20and%20Tomato%20Virus%20Workshop.docx,NA,Invalid URL 'EIPM%20tomato%20grant/Post%20Workshop%20Evaluation%20Results_IPM%20and%20Tomato%20Virus%20Workshop.docx': No schema supplied. Perhaps you meant http://EIPM%20tomato%20grant/Post%20Workshop%20Evaluation%20Results_IPM%20and%20Tomato%20Virus%20Workshop.docx?
6,QCCC%20video/University%20of%20Guam%20Presents-%20Reinforcing%20A%20Sustainable%20Guam%20(1).mp4,NA,Invalid URL 'QCCC%20video/University%20of%20Guam%20Presents-%20Reinforcing%20A%20Sustainable%20Guam%20(1).mp4': No schema supplied. Perhaps you meant http://QCCC%20video/University%20of%20Guam%20Presents-%20Reinforcing%20A%20Sustainable%20Guam%20(1).mp4?
6,resident%20instruction/al%20485/AL-485%20Syllabus%20Spring%202022.pdf,NA,Invalid URL 'resident%20instruction/al%20485/AL-485%20Syllabus%20Spring%202022.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/AL-485%20Syllabus%20Spring%202022.pdf?
6,resident%20instruction/al%20485/AL-485L%20Syllabus%20Lab%20Spring%202022.pdf,NA,Invalid URL 'resident%20instruction/al%20485/AL-485L%20Syllabus%20Lab%20Spring%202022.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/AL-485L%20Syllabus%20Lab%20Spring%202022.pdf?
6,resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf,NA,Invalid URL 'resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf?
6,resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf,NA,Invalid URL 'resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf?
7,resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf,NA,Invalid URL 'resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf?
7,resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf,NA,Invalid URL 'resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf?
7,resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf,NA,Invalid URL 'resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf?
7,resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf,NA,Invalid URL 'resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf?
7,resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf,NA,Invalid URL 'resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf?
7,resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf,NA,Invalid URL 'resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf?
7,resident%20instruction/al%20340/AL-340%20Syllabus%20Spring%202022.pdf,NA,Invalid URL 'resident%20instruction/al%20340/AL-340%20Syllabus%20Spring%202022.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20340/AL-340%20Syllabus%20Spring%202022.pdf?
7,resident%20instruction/al%20340/AL-340L%20Syllabus%20Lab%20Spring%202022.pdf,NA,Invalid URL 'resident%20instruction/al%20340/AL-340L%20Syllabus%20Lab%20Spring%202022.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20340/AL-340L%20Syllabus%20Lab%20Spring%202022.pdf?
7,Farmer%20focus%20group%20june%202021/Head_Start_Agriculture_Guam%20(Proof%202%2029_08_2022).pdf,NA,Invalid URL 'Farmer%20focus%20group%20june%202021/Head_Start_Agriculture_Guam%20(Proof%202%2029_08_2022).pdf': No schema supplied. Perhaps you meant http://Farmer%20focus%20group%20june%202021/Head_Start_Agriculture_Guam%20(Proof%202%2029_08_2022).pdf?
7,electric%20fencing/Electric_Fencing.pdf,NA,Invalid URL 'electric%20fencing/Electric_Fencing.pdf': No schema supplied. Perhaps you meant http://electric%20fencing/Electric_Fencing.pdf?
7,QCCC%20video/University%20of%20Guam%20Presents-%20Reinforcing%20A%20Sustainable%20Guam%20(1).mp4,NA,Invalid URL 'QCCC%20video/University%20of%20Guam%20Presents-%20Reinforcing%20A%20Sustainable%20Guam%20(1).mp4': No schema supplied. Perhaps you meant http://QCCC%20video/University%20of%20Guam%20Presents-%20Reinforcing%20A%20Sustainable%20Guam%20(1).mp4?
7,NRCS%20CIG/Package_ALL_new%20(1)%20cig.pdf,NA,Invalid URL 'NRCS%20CIG/Package_ALL_new%20(1)%20cig.pdf': No schema supplied. Perhaps you meant http://NRCS%20CIG/Package_ALL_new%20(1)%20cig.pdf?
8,NRCS%20CIG/WPTRC-Technical%20Report%20No%204_Oct%201%202021.pdf,NA,Invalid URL 'NRCS%20CIG/WPTRC-Technical%20Report%20No%204_Oct%201%202021.pdf': No schema supplied. Perhaps you meant http://NRCS%20CIG/WPTRC-Technical%20Report%20No%204_Oct%201%202021.pdf?
8,PSEP/psep%202021/Guam%20-%20Final%20Dec%2014.pdf,NA,Invalid URL 'PSEP/psep%202021/Guam%20-%20Final%20Dec%2014.pdf': No schema supplied. Perhaps you meant http://PSEP/psep%202021/Guam%20-%20Final%20Dec%2014.pdf?
9,PSEP/Pacific%20Island%20Core%20Manual/220125-PI-Core-1-WEB/content/index.html,NA,Invalid URL 'PSEP/Pacific%20Island%20Core%20Manual/220125-PI-Core-1-WEB/content/index.html': No schema supplied. Perhaps you meant http://PSEP/Pacific%20Island%20Core%20Manual/220125-PI-Core-1-WEB/content/index.html?
9,PSEP/Pacific%20Island%20Core%20Manual/Unzipped/content/index.html,NA,Invalid URL 'PSEP/Pacific%20Island%20Core%20Manual/Unzipped/content/index.html': No schema supplied. Perhaps you meant http://PSEP/Pacific%20Island%20Core%20Manual/Unzipped/content/index.html?
9,PSEP/Pacific%20Island%20Core%20Manual/220125-PI-Core-3-WEB/content/index.html,NA,Invalid URL 'PSEP/Pacific%20Island%20Core%20Manual/220125-PI-Core-3-WEB/content/index.html': No schema supplied. Perhaps you meant http://PSEP/Pacific%20Island%20Core%20Manual/220125-PI-Core-3-WEB/content/index.html?
9,PSEP/Pacific%20Island%20Core%20Manual/220125-PI-Core-5-WEB/content/index.html,NA,Invalid URL 'PSEP/Pacific%20Island%20Core%20Manual/220125-PI-Core-5-WEB/content/index.html': No schema supplied. Perhaps you meant http://PSEP/Pacific%20Island%20Core%20Manual/220125-PI-Core-5-WEB/content/index.html?
9,PSEP/psep%202022/Guam%20-%20Award%20Package%20(1)%202022.pdf,NA,Invalid URL 'PSEP/psep%202022/Guam%20-%20Award%20Package%20(1)%202022.pdf': No schema supplied. Perhaps you meant http://PSEP/psep%202022/Guam%20-%20Award%20Package%20(1)%202022.pdf?
9,PSEP/psep%202022/FINAL%20VERSION%20PESTICIDE%20GUIDE%2011-16-22.pdf,NA,Invalid URL 'PSEP/psep%202022/FINAL%20VERSION%20PESTICIDE%20GUIDE%2011-16-22.pdf': No schema supplied. Perhaps you meant http://PSEP/psep%202022/FINAL%20VERSION%20PESTICIDE%20GUIDE%2011-16-22.pdf?
9,WSARE%202022%205%20future%20trainers/Mail%20-%20JESSE%20P%20BAMBA%20-%20Outlook.mhtml,NA,Invalid URL 'WSARE%202022%205%20future%20trainers/Mail%20-%20JESSE%20P%20BAMBA%20-%20Outlook.mhtml': No schema supplied. Perhaps you meant http://WSARE%202022%205%20future%20trainers/Mail%20-%20JESSE%20P%20BAMBA%20-%20Outlook.mhtml?
9,WSARE%202022%205%20future%20trainers/5FUTUR~1.pdf,NA,Invalid URL 'WSARE%202022%205%20future%20trainers/5FUTUR~1.pdf': No schema supplied. Perhaps you meant http://WSARE%202022%205%20future%20trainers/5FUTUR~1.pdf?
